"","ID","Title_Level","l"
"89","217","1","SQL "
"90","217","1","CSS "
"91","466","2","Microsoft Excel"
"92","466","2","Troubleshooting "
"93","466","2","Analytical Skills "
"94","466","2","Problem Solving"
"95","466","2","Earned Value Management "
"96","362","1","PowerPoint"
"97","362","1","Python "
"98","362","1","Data Analysis"
"99","362","1","Research"
"100","362","1","Sales"
"101","118","4","WCF"
"102","118","4","C++"
"103","118","4","Python"
"104","118","4","Electronic Lab Notebooks "
"105","118","4","Pharmaceutical Industry "
"106","459","5","CFR Part"
"107","459","5","Sales Operations "
"108","459","5","Solution Architecture "
"109","459","5","Pharmaceuticals "
"110","459","5","Managed Services "
"111","459","5","Medical Devices "
"112","459","5","Medicine "
"113","459","5","DNA sequencing "
"114","459","5","E-commerce "
"115","459","5","Offshore Software Development "
"116","394","4","Drug Discovery "
"117","394","4","Program Evaluation "
"118","394","4","Databases "
"119","394","4","Problem Solving "
"120","394","4","Domain-Driven Design (DDD)"
"121","288","5","Business Analysis "
"122","288","5","Medical Devices "
"123","288","5","Team Leadership "
"124","288","5","Technology Transfer "
"125","288","5","Business Alliances "
"126","288","5","Offshore Management"
"127","288","5","Sybase "
"128","288","5","Data Center "
"129","288","5","Business Strategy "
"130","288","5","Solution Selling "
"131","91","2","Computer Hardware"
"132","91","2","Sarbanes-Oxley Act "
"133","91","2","Management "
"134","91","2","Avaya"
"135","91","2","Windows XP     Windows XP"
"136","448","2","Mac OS X"
"137","448","2","Require Management "
"138","448","2","VPN"
"139","448","2","Active Directory"
"140","448","2","Software Documentation "
"141","444","6","Wellness "
"142","444","6","Mergers & Acquisitions "
"143","444","6","Architecture "
"144","444","6","Weight Loss Coaching "
"145","444","6","Microsoft SQL Server "
"146","444","6","Financial Risk "
"147","444","6","VB.NET     VB.NET"
"148","444","6",".NET "
"149","444","6","UML "
"150","444","6","HIPAA "
"151","383","6","Nutrition "
"152","383","6","Software Engineering"
"153","383","6","PACS "
"154","383","6","Revenue Cycle "
"155","383","6","IT Strategy "
"156","383","6","IT Strategy "
"157","383","6","Enterprise Software"
"158","383","6","Business Management "
"159","383","6","SOA "
"160","383","6","Banking "
"161","179","2","SQL "
"162","179","2","Mac"
"163","179","2","COSO Framework "
"164","179","2","VPN"
"165","179","2","Financial Analysis "
"166","65","2","Accounts Receivable "
"167","65","2","HTML "
"168","65","2","Problem Solving"
"169","65","2","Troubleshooting"
"170","65","2","Accounts Receivable "
"171","307","3","PLC Programming"
"172","307","3","Remote Desktop Manager "
"173","307","3","Leadership"
"174","307","3","ElasticSearch "
"175","307","3","Django "
"176","8","1","Team Leadership"
"177","8","1","Teamwork "
"178","8","1","SQL "
"179","8","1","Programming "
"180","8","1","HTML "
"181","86","4","Bash"
"182","86","4","LINQ"
"183","86","4","Biologics"
"184","86","4","Program Development "
"185","86","4","Agile Methodologies "
"186","317","4","WCF"
"187","317","4","Validation "
"188","317","4","Redhat OpenShift"
"189","317","4","SAN "
"190","317","4","BOSH"
"191","336","1","Team Leadership"
"192","336","1","ReactJS "
"193","336","1","Rails "
"194","336","1",NA
"195","336","1","Process Improvement"
"196","318","3","Inventory Management"
"197","318","3","Agile Methodologies "
"198","318","3","Github"
"199","318","3","Python "
"200","318","3","C++     C++"
"201","144","2","Microsoft PowerPoint "
"202","144","2","Polycom Video Conferencing"
"203","144","2","Mac OS X "
"204","144","2",NA
"205","144","2","Internal Controls "
"206","237","2","Analysis "
"207","237","2","Dameware"
"208","237","2","Accounts Receivable "
"209","237","2","Software Installation"
"210","237","2","Systems Engineering "
"211","51","3","HP Procurve Networking "
"212","51","3","Inventory Management"
"213","51","3","DHCP "
"214","51","3","Linux "
"215","51","3","SASS "
"216","370","4","Market Intelligence"
"217","370","4","Linux "
"218","370","4","Micro Services"
"219","370","4","NoSQL(CouchDB, MongoDB, Memcached)"
"220","370","4","LINQ"
"221","128","3","Amazon Web Services (AWS)"
"222","128","3","Image Processing "
"223","128","3","Linux"
"224","128","3","Data Visualization "
"225","128","3","Electronics "
"226","181","4","Six Sigma"
"227","181","4","Virtualization "
"228","181","4","Scientific Data Management"
"229","181","4","PMP"
"230","181","4","Oracle"
"231","290","2","Customer Service "
"232","290","2","Operational Risk Management "
"233","290","2","Java"
"234","290","2","Outlook     Outlook"
"235","290","2","Microsoft Outlook "
"236","365","3","Python "
"237","365","3","JavaScript"
"238","365","3","Disaster Recovery "
"239","365","3",NA
"240","365","3","C "
"241","156","5","Professional Services "
"242","156","5","SDLC "
"243","156","5","E-commerce "
"244","156","5","Banking "
"245","156","5","Medicare "
"246","156","5","Program Management "
"247","156","5","Staff Development "
"248","156","5","Business Process Improvement "
"249","156","5","Commercialization"
"250","156","5","Science "
"251","140","1","Sales"
"252","140","1","TDD "
"253","140","1","TDD "
"254","140","1","Sales"
"255","140","1","Ruby     Ruby"
"256","12","5","Pre-sales "
"257","12","5","Unified Communications "
"258","12","5","Sales Operations "
"259","12","5","Business Process Improvement "
"260","12","5","Sales Operations "
"261","12","5","DNA "
"262","12","5","Business Process "
"263","12","5","Analysis "
"264","12","5","Pharmaceutical Industry "
"265","12","5","Public Speaking "
"266","210","6","Financial Services "
"267","210","6","Management "
"268","210","6","Wellness "
"269","210","6","C++ "
"270","210","6","XML "
"271","210","6","Team Building "
"272","210","6","Application Architecture "
"273","210","6","Business Process Improvement "
"274","210","6","Business Development "
"275","210","6","EAI "
"276","208","4","Ant"
"277","208","4","JIRA "
"278","208","4","Multithreading"
"279","208","4","Eclipse SWT"
"280","208","4","Micro Services"
"281","496","2","Customer Service "
"282","496","2","Outlook     Outlook"
"283","496","2","Mac OS X"
"284","496","2","Management "
"285","496","2","Java"
"286","90","1","Microsoft Word"
"287","90","1","Ruby     Ruby"
"288","90","1","Public Speaking"
"289","90","1","SQL "
"290","90","1","Java "
"291","158","1","Linux "
"292","158","1","Microsoft Word"
"293","158","1","Social Media "
"294","158","1","Research"
"295","158","1","Enzyme "
"296","223","5","Managed Services "
"297","223","5","SAP "
"298","223","5","Laboratory Automation "
"299","223","5","Data Management"
"300","223","5","Genetics "
"301","223","5","FDA "
"302","223","5","Risk Management "
"303","223","5","Sales Process "
"304","223","5","Genetics "
"305","223","5","Business Analysis "
"306","173","1",NA
"307","173","1","Karma "
"308","173","1","Teamwork "
"309","173","1","PowerPoint"
"310","173","1","Foundation "
"311","199","4","Ant"
"312","199","4","LIMS "
"313","199","4","LINQ"
"314","199","4","Cloud Computing IaaS "
"315","199","4","Functional Programming"
"316","259","2","HTML "
"317","259","2","Dameware"
"318","259","2","Systems Engineering "
"319","259","2","Accounting "
"320","259","2","Pharmaceutical Industry "
"321","478","1","TDD "
"322","478","1","Leadership"
"323","478","1","Mathematical Modeling "
"324","478","1","C++"
"325","478","1","Time Management "
"326","150","4","DevOps"
"327","150","4","Research     Research"
"328","150","4","Market Research "
"329","150","4","Agile Methodologies "
"330","150","4","Hibernate"
"331","37","3","Java "
"332","37","3","HTML "
"333","37","3","Software Architectural Design "
"334","37","3","VHDL "
"335","37","3","Linux "
"336","152","3","Data Analysis "
"337","152","3","Ruby on Rails "
"338","152","3","SASS "
"339","152","3","VMware ESX "
"340","152","3","MongoDB "
"341","386","2","Windows "
"342","386","2","Polycom Video Conferencing"
"343","386","2","Mac"
"344","386","2","Outlook     Outlook"
"345","386","2","Analysis "
"346","441","1","Objective-C "
"347","441","1","Event Planning "
"348","441","1","Process Improvement"
"349","441","1","Github "
"350","441","1","Microsoft Excel"
"351","337","3","Debugging"
"352","337","3","VMware "
"353","337","3","Linux "
"354","337","3","Windows Server  R "
"355","337","3","Machine Learning "
"356","469","2","Pharmaceutical Industry "
"357","469","2","Servers "
"358","469","2","Microsoft Word "
"359","469","2","Windows XP     Windows XP"
"360","469","2","Avaya"
"361","475","3","Software Development "
"362","475","3","Github"
"363","475","3","VMware "
"364","475","3","Windows  "
"365","475","3","Data Analysis "
"366","380","3","Social Networking "
"367","380","3","C "
"368","380","3","Microsoft Exchange"
"369","380","3","Digital Signal Processors "
"370","380","3","PLC Programming"
"371","232","2","Windows "
"372","232","2","Management "
"373","232","2","Java"
"374","232","2","Problem Solving"
"375","232","2","Financial Reporting "
"376","60","1","JavaScript "
"377","60","1","Microsoft Office"
"378","60","1","Microsoft Word"
"379","60","1","Visual Basic  Applications (VBA) "
"380","60","1","Process Improvement"
"381","116","1","Data Analysis"
"382","116","1","Strategic Planning"
"383","116","1","Statistics "
"384","116","1","Leadership"
"385","116","1","Foundation "
"386","227","3","Linux "
"387","227","3","Paraview"
"388","227","3","Electronics "
"389","227","3","MongoDB "
"390","227","3","CSS "
"391","122","5","SAP "
"392","122","5","ERP "
"393","122","5","Mobile Devices "
"394","122","5","Clinical Research "
"395","122","5","Chemistry "
"396","122","5","Business Alliances "
"397","122","5","Product Development "
"398","122","5","Disease Management "
"399","122","5","Case Management "
"400","122","5","Data Center "
"401","30","6","Databases "
"402","30","6","SaaS "
"403","30","6","Nutrition "
"404","30","6","Programming "
"405","30","6","AngularJS "
"406","30","6","Strategic Partnerships "
"407","30","6","jQuery UI "
"408","30","6","Financial Modeling "
"409","30","6","Nutrition "
"410","30","6","Social Networking "
"411","163","5","Business Strategy "
"412","163","5","Software Engineering "
"413","163","5","Healthcare Management "
"414","163","5","Management "
"415","163","5","Market Data "
"416","163","5","Case Managment "
"417","163","5","Risk Management "
"418","163","5","SAP R/ "
"419","163","5","Product Management "
"420","163","5","Competitive Analysis"
"421","214","2","Operational Risk Management "
"422","214","2","Pharmaceutical Industry "
"423","214","2","Space Systems "
"424","214","2","Require Analysis "
"425","214","2","Servers "
"426","202","3","Paraview"
"427","202","3","Software Architectural Design "
"428","202","3","Windows Server "
"429","202","3","Agile Methodologies "
"430","202","3","Management"
"431","40","4","Cloud Computing"
"432","40","4","Troubleshooting"
"433","40","4","Eclipse SWT"
"434","40","4","Functional Programming"
"435","40","4","JavaSE"
"436","419","3","PLC Programming"
"437","419","3","Paraview"
"438","419","3","VMware ESX "
"439","419","3","C++     C++"
"440","419","3","Ruby on Rails "
"441","301","3","Consulting "
"442","301","3","Help Desk Support "
"443","301","3","Git"
"444","301","3","Inmation Technology "
"445","301","3","Debugging"
"446","272","5","Software "
"447","272","5","Physicians "
"448","272","5","Microsoft Office"
"449","272","5","Quality Assurance "
"450","272","5","Team Building "
"451","272","5","Portfolio Management "
"452","272","5","LIMS "
"453","272","5","Portfolio Management "
"454","272","5","Inpatient Care "
"455","272","5","Data Mining "
"456","403","6","Lean Manufacturing "
"457","403","6","Cloud Computing "
"458","403","6","Financial Modeling "
"459","403","6","AngularJS "
"460","403","6","Program Management "
"461","403","6","Design Strategies "
"462","403","6","Business Intelligence"
"463","403","6","Design Strategies "
"464","403","6","Analytical Skills "
"465","403","6","Financial Analysis "
"466","323","4","Permance Tuning"
"467","323","4","Analysis "
"468","323","4","Troubleshooting"
"469","323","4","VMware ESX"
"470","323","4","Market Intelligence"
"471","180","4","Vmware"
"472","180","4","JIRA "
"473","180","4","Domain-Driven Design (DDD)"
"474","180","4","Heroku"
"475","180","4","Oracle"
"476","351","4","SAN "
"477","351","4","JIRA "
"478","351","4","OpenStack"
"479","351","4","Business Intelligence"
"480","351","4","Wicket"
"481","56","3","Networking "
"482","56","3","SharePoint "
"483","56","3","Qt Creator"
"484","56","3","Disaster Recovery "
"485","56","3","iOS Development "
"486","89","6","Market Development "
"487","89","6","Market Development "
"488","89","6","Process Improvement "
"489","89","6","Inmation Technology "
"490","89","6","Cardiology "
"491","89","6","Market Development "
"492","89","6","AJAX "
"493","89","6","Management "
"494","89","6","Operations Management "
"495","89","6","EHR "
"496","19","4","Software Design Patterns"
"497","19","4","Inmation Technology "
"498","19","4","Event Storming"
"499","19","4","Technical Support "
"500","19","4","Business Intelligence"
"501","49","2","Active Directory"
"502","49","2","Risk Management "
"503","49","2",NA
"504","49","2","Financial Reporting "
"505","49","2","SQL "
"506","206","6","C# "
"507","206","6","Analytics "
"508","206","6","New Business Development "
"509","206","6","Web Services "
"510","206","6","Workflow "
"511","206","6","Cardiology "
"512","206","6","Enterprise Software "
"513","206","6","Team Building"
"514","206","6","Training "
"515","206","6","Databases "
"516","161","5","EMR"
"517","161","5","Equities "
"518","161","5","Inpatient"
"519","161","5","DNA "
"520","161","5","Healthcare Management "
"521","161","5","Medicare "
"522","161","5","Data Center "
"523","161","5","Risk Management "
"524","161","5","Program Management "
"525","161","5","Unified Communications "
"526","385","1","Programming "
"527","385","1","SQL "
"528","385","1","Research"
"529","385","1","SQL "
"530","385","1","Java "
"531","209","3","Data Visualization "
"532","209","3","Customer Service "
"533","209","3","VMware "
"534","209","3","SASS "
"535","209","3","WPF Development"
"536","417","2","Dameware"
"537","417","2","Dameware"
"538","417","2","Customer Service"
"539","417","2","Access"
"540","417","2","Networking "
"541","261","2","Biotechnology"
"542","261","2","Remote Desktop "
"543","261","2","VNC"
"544","261","2","Windows      Windows"
"545","261","2","Space Systems "
"546","335","3","PLC Programming"
"547","335","3","Technical Support"
"548","335","3","C     C"
"549","335","3","Digital Signal Processors "
"550","335","3","HP Procurve Networking "
"551","196","3","VMware "
"552","196","3","Computer Vision"
"553","196","3","Data Analysis "
"554","196","3","Embedded Systems "
"555","196","3","Digital Signal Processors "
"556","320","4","Servers "
"557","320","4","MVVM"
"558","320","4","Grant Writing "
"559","320","4","SharePoint "
"560","320","4","Technical Support "
"561","374","2","Computer Hardware"
"562","374","2","Microsoft Office "
"563","374","2","Active Directory"
"564","374","2","Pharmaceutical Industry "
"565","374","2","Customer Service"
"566","251","3","JavaScript "
"567","251","3","CSS "
"568","251","3","Inventory Management"
"569","251","3",NA
"570","251","3","SQL "
"571","338","5","Research and Development (R&D)"
"572","338","5","Product Management "
"573","338","5","Team Building "
"574","338","5","CFR Part"
"575","338","5","CRM "
"576","338","5","Business Transmation "
"577","338","5","EMR"
"578","338","5","JCAHO "
"579","338","5","Solution Selling "
"580","338","5","Offshore Management"
"581","105","6","Databases "
"582","105","6","Healthcare Inmation Technology "
"583","105","6","Team Building "
"584","105","6","Internal Audit "
"585","105","6","Software Development "
"586","105","6","Process Improvement "
"587","105","6","Management "
"588","105","6","Operations Management "
"589","105","6","Visual Studio "
"590","105","6","Six Sigma "
"591","75","6","C++ "
"592","75","6","Business Development "
"593","75","6","Data Analysis"
"594","75","6","Product Launch "
"595","75","6","New Business Development "
"596","75","6",NA
"597","75","6","Databases "
"598","75","6","ALM "
"599","75","6","Databases "
"600","75","6","Wellness "
"601","446","1","Leadership"
"602","446","1","Leadership"
"603","446","1","Statistics "
"604","446","1","Microsoft Excel "
"605","446","1","Git "
"606","211","6","C# "
"607","211","6","ALM "
"608","211","6",".NET "
"609","211","6","Application Architecture "
"610","211","6","Clinical Research "
"611","211","6","SDLC "
"612","211","6","ASP.NET "
"613","211","6","AJAX "
"614","211","6","SQL Server "
"615","211","6","Business Development "
"616","378","3","Inventory Management"
"617","378","3","ElasticSearch "
"618","378","3","Git"
"619","378","3","Software Development "
"620","378","3","Django "
"621","390","3","Visual Studio "
"622","390","3","WPF Development"
"623","390","3","Marketing "
"624","390","3","Consulting "
"625","390","3","Virtual Private Network (VPN)"
"626","416","4","Software Design Patterns"
"627","416","4","JavaSE"
"628","416","4","Integration"
"629","416","4","Chef"
"630","416","4","Problem Solving "
"631","95","1","Leadership"
"632","95","1","Public Speaking"
"633","95","1","Leadership"
"634","95","1","Sales"
"635","95","1","Java "
"636","278","2","Remote Desktop "
"637","278","2","Mac"
"638","278","2","HTML "
"639","278","2","Dreamweaver"
"640","278","2","Polycom Video Conferencing"
"641","162","2","Troubleshooting "
"642","162","2","Operational Risk Management "
"643","162","2","Troubleshooting"
"644","162","2","Require Analysis "
"645","162","2","VNC"
"646","398","1","Rails "
"647","398","1","Teamwork "
"648","398","1","Pair Programming "
"649","398","1","Mathematical Modeling "
"650","398","1","Objective-C "
"651","377","1","Pair Programming "
"652","377","1","Strategic Planning"
"653","377","1","Microsoft Excel"
"654","377","1","C++"
"655","377","1","Teamwork "
"656","449","1","Research"
"657","449","1","Karma "
"658","449","1","CSS "
"659","449","1","Leadership"
"660","449","1","Mathematical Modeling "
"661","103","6","Management     Management"
"662","103","6","Executive Management "
"663","103","6","Workflow "
"664","103","6","Enterprise Software "
"665","103","6","Bootstrap "
"666","103","6","Analytics "
"667","103","6","Agile "
"668","103","6","Enterprise Software"
"669","103","6","Small Business "
"670","103","6","Software Development "
"671","310","4","Certified Project Manager "
"672","310","4","Agile Methodologies"
"673","310","4",".NET"
"674","310","4","Testing"
"675","310","4","Public Health "
"676","367","4","Problem Solving "
"677","367","4","Maven"
"678","367","4","Wicket"
"679","367","4","Vaccines"
"680","367","4","Financial Projection"
"681","406","6","HIPAA "
"682","406","6","SDLC "
"683","406","6",".NET "
"684","406","6","Business Process Automation "
"685","406","6","Risk Management "
"686","406","6","Public Speaking "
"687","406","6","Analysis     Analysis"
"688","406","6","Management "
"689","406","6","Data Analysis"
"690","406","6","Management     Management"
"691","88","6","Business Consulting "
"692","88","6","Risk Management "
"693","88","6","Enterprise Software "
"694","88","6","XML "
"695","88","6","Web Services "
"696","88","6","Global Marketing "
"697","88","6","Databases "
"698","88","6",".Net Workflow "
"699","88","6","C# "
"700","88","6","Product Marketing "
"701","233","1","Karma "
"702","233","1","Object-Oriented Programming (OOP) "
"703","233","1","Microsoft Excel"
"704","233","1","Leadership "
"705","233","1","HTML "
"706","216","4","Vaccines"
"707","216","4","Bash"
"708","216","4","Chef"
"709","216","4","JIRA "
"710","216","4","Infrastructure "
"711","55","6","Healthcare"
"712","55","6",NA
"713","55","6","Process Improvement "
"714","55","6","Financial Modeling "
"715","55","6","DICOM"
"716","55","6","Product Management "
"717","55","6","Fitness "
"718","55","6","Acquisition Integration "
"719","55","6","Product Marketing "
"720","55","6","System Architecture"
"721","439","3","Marketing "
"722","439","3","Active Directory "
"723","439","3","CSS "
"724","439","3","Inventory Management"
"725","439","3",NA
"726","442","1","Git "
"727","442","1","C++"
"728","442","1","ReactJS "
"729","442","1","Web Development "
"730","442","1","Microsoft Excel"
"731","212","5","Trading Systems "
"732","212","5","Business Strategy "
"733","212","5","Healthcare Inmation Technology "
"734","212","5","Mobile Devices "
"735","212","5","Sales Enablement "
"736","212","5","Laboratory Automation "
"737","212","5","Virtualization "
"738","212","5","Virtualization "
"739","212","5","Working with Physicians"
"740","212","5","EHR "
"741","275","5","EMR"
"742","275","5","Healthcare "
"743","275","5","Professional Services "
"744","275","5","Sybase "
"745","275","5","Offshore Software Development "
"746","275","5","SAP R/ "
"747","275","5","Management Consulting "
"748","275","5","Bioinmatics "
"749","275","5","Research and Development (R&D)"
"750","275","5","Agile Methodologies "
"751","93","2","Project Management"
"752","93","2","Customer Service "
"753","93","2","Analysis "
"754","93","2","Java"
"755","93","2","Sarbanes-Oxley Act "
"756","457","6","Product Marketing "
"757","457","6","Cloud Computing "
"758","457","6","Management "
"759","457","6","XML "
"760","457","6","SDLC "
"761","457","6","Data Analysis"
"762","457","6","Integration "
"763","457","6","Web Services "
"764","457","6","Mobile Applications "
"765","457","6","DICOM"
"766","263","3","Visual Studio "
"767","263","3","Qt"
"768","263","3","VMware vSphere"
"769","263","3","HTML "
"770","263","3","Swift "
"771","388","6","Entrepreneurship "
"772","388","6","Web Services "
"773","388","6","Programming "
"774","388","6","Integration "
"775","388","6","Strategic Partnerships "
"776","388","6","Business Analysis "
"777","388","6","Product Management "
"778","388","6","SDLC "
"779","388","6","Cloud Computing "
"780","388","6","UML "
"781","387","6","Operational Excellence "
"782","387","6","XML "
"783","387","6","Analysis     Analysis"
"784","387","6","Global Marketing "
"785","387","6","Operational Excellence "
"786","387","6","Radiology "
"787","387","6","Agile "
"788","387","6",".NET "
"789","387","6","Business Process Improvement "
"790","387","6","Business Intelligence"
"791","281","2","Risk Management "
"792","281","2","SQL "
"793","281","2","Analysis "
"794","281","2","Avaya"
"795","281","2","Financial Analysis "
"796","428","1","Javascript "
"797","428","1","Leadership "
"798","428","1","Programming "
"799","428","1","Social Media "
"800","428","1","Social Media "
"801","28","1","JavaScript "
"802","28","1","Ruby     Ruby"
"803","28","1","Linux "
"804","28","1","Process Improvement"
"805","28","1","Rails "
"806","127","2","GRC "
"807","127","2","Servers "
"808","127","2","Data Analysis "
"809","127","2","Risk Management "
"810","127","2","Dameware"
"811","293","5","Business Process Improvement "
"812","293","5","PMO "
"813","293","5","Sales Process "
"814","293","5","Situational Leadership "
"815","293","5","Integration "
"816","293","5","Genomics "
"817","293","5","FDA "
"818","293","5","Perl "
"819","293","5","Pre-sales "
"820","293","5","Healthcare Inmation Technology "
"821","39","2","Customer Service "
"822","39","2","Servers "
"823","39","2","Windows XP     Windows XP"
"824","39","2","Troubleshooting"
"825","39","2","Troubleshooting "
"826","297","4","Pharmaceutical Industry "
"827","297","4","Inmation Technology "
"828","297","4","Ant"
"829","297","4","JIRA "
"830","297","4","Agile Methodologies"
"831","339","5","Genomics "
"832","339","5","Agile Methodologies "
"833","339","5","ERP "
"834","339","5","Professional Services "
"835","339","5","Equities "
"836","339","5","Management "
"837","339","5","Cisco Technologies "
"838","339","5","Market Data "
"839","339","5","Organizational Design"
"840","339","5","Portfolio Management "
"841","67","2","Microsoft Excel "
"842","67","2","Require Management "
"843","67","2","Accounts Receivable "
"844","67","2","Avaya"
"845","67","2","Healthcare"
"846","32","1","Team Leadership"
"847","32","1","Social Media "
"848","32","1","C++"
"849","32","1","Statistics "
"850","32","1","Statistics "
"851","440","6","Business Operations "
"852","440","6","Global Marketing "
"853","440","6","Medical Imaging "
"854","440","6","Process Improvement "
"855","440","6","Technical Leadership "
"856","440","6","Financial Risk "
"857","440","6","HTML "
"858","440","6","Nutrition "
"859","440","6","Hospitals "
"860","440","6","jQuery UI "
"861","123","4","Data Analysis "
"862","123","4","SQL"
"863","123","4","Micro Services"
"864","123","4","Market Research "
"865","123","4","Docker"
"866","482","6","VB.NET     VB.NET"
"867","482","6","Hospitals "
"868","482","6","Social Media "
"869","482","6","jQuery UI "
"870","482","6","DICOM"
"871","482","6","Leadership "
"872","482","6","Strategic Leadership "
"873","482","6","New Business Development "
"874","482","6","Lean Manufacturing "
"875","482","6","Architecture "
"876","104","5","Data Management"
"877","104","5","Healthcare Industry "
"878","104","5","Data Center "
"879","104","5","Drug Discovery "
"880","104","5","Selling "
"881","104","5","Project Management "
"882","104","5","Databases"
"883","104","5","Drug Discovery "
"884","104","5","Solution Architecture"
"885","104","5","Cheminmatics "
"886","176","1","Karma "
"887","176","1","CSS "
"888","176","1",NA
"889","176","1","Event Planning "
"890","176","1","Git "
"891","491","4","Gradle"
"892","491","4","Business Intelligence"
"893","491","4","WCF"
"894","491","4","Git"
"895","491","4","Gradle"
"896","166","3","Hardware"
"897","166","3","Tortoise SVN"
"898","166","3","MongoDB "
"899","166","3","Making Things Work "
"900","166","3","Git"
"901","34","1","Strategic Planning"
"902","34","1","Microsoft Excel"
"903","34","1","Sales"
"904","34","1","JavaScript "
"905","34","1","RSpec "
"906","252","4","Biologics"
"907","252","4","Validation "
"908","252","4","MongoDB"
"909","252","4","JSON"
"910","252","4","Microsoft Office"
"911","187","1","Rails "
"912","187","1","Entrepreneurship"
"913","187","1","Research"
"914","187","1","Python "
"915","187","1","Microsoft Excel"
"916","292","1","Javascript "
"917","292","1","Object-Oriented Programming (OOP) "
"918","292","1","Python "
"919","292","1","Customer Service"
"920","292","1","Data Analysis"
"921","146","1","Team Leadership"
"922","146","1","Leadership "
"923","146","1","Jasmine "
"924","146","1","Strategic Planning"
"925","146","1","Enzyme "
"926","427","3","Social Networking "
"927","427","3","Qt Creator"
"928","427","3","Data Analysis "
"929","427","3","C#"
"930","427","3","HP Procurve Networking "
"931","121","6","Visual Studio "
"932","121","6",".NET "
"933","121","6","Web Services "
"934","121","6","Personal Training "
"935","121","6","Executive Management "
"936","121","6","Enterprise Architecture "
"937","121","6","Revenue Cycle "
"938","121","6","Risk Management "
"939","121","6","Enterprise Software "
"940","121","6","IT Strategy "
"941","138","4","Servers "
"942","138","4","Databases "
"943","138","4","Eclipse SWT"
"944","138","4","Ant"
"945","138","4","DevOps"
"946","447","5","DNA "
"947","447","5","Public Speaking "
"948","447","5","Business Process Design "
"949","447","5","Data Mining "
"950","447","5","Sales Enablement "
"951","447","5","Go-to-market Strategy "
"952","447","5","Solution Architecture"
"953","447","5","Disease Management "
"954","447","5","Physician Relations "
"955","447","5","CFR Part"
"956","221","3","Project Management"
"957","221","3","Electronics "
"958","221","3","Software Development"
"959","221","3","Remote Desktop Manager "
"960","221","3","SharePoint "
"961","59","1","Javascript "
"962","59","1","Laboratory Inmation Management System (LIMS)"
"963","59","1","Github "
"964","59","1","Objective-C "
"965","59","1","Entrepreneurship"
"966","431","4","Business Analysis "
"967","431","4","Data Analysis "
"968","431","4","Databases "
"969","431","4","Application Servers (JBoss, WebSphere, WebLogic, Tomcat)"
"970","431","4","Analysis "
"971","456","5","Banking "
"972","456","5","Cross-functional Team Leadership "
"973","456","5","Pharmaceuticals "
"974","456","5","Solution Architecture"
"975","456","5","Managed Services "
"976","456","5","Strategic Partnerships "
"977","456","5","Hospitals "
"978","456","5","Molecular Biology "
