Skill6	Skill5	Skill4	Skill3	Skill2	Skill1
Start-ups 	Physician Relations   	Certified Project Manager 	Agile Methodologies 	Systems Engineering   	Statistics   
EHR 	Healthcare Inmation Technology (HIT)   	ITIL 	Computer Science 	Earned Value Management  	Visual Basic  Applications (VBA) 
Product Marketing 	JCAHO 	Technical Support   	Software Development   	Require Management   	Microsoft Excel  
Clinical Research 	Microsoft Office	Agile Methodologies 	Java  	Require Analysis  	Mathematical Modeling 
Lean Manufacturing 	Inpatient	Vendor Management  	SQL   	Space Systems 	Leadership  
Competitive Analysis 	EHR  	Vmware	JavaScript  	DoDAF  	SQL 
Sales 	Inmatics  	Servers  	Node.js  	Telelogic DOORS  	C++
Strategic Partnerships 	Working with Physicians	JIRA 	Teamwork  	Windows  	Laboratory Inmation Management System (LIMS)
Cardiology 	Operations Management   	SharePoint  	HTML  	Troubleshooting  	Karma   
Revenue Cycle 	Public Speaking  	Troubleshooting	Leadership	Management  	Object-Oriented Programming (OOP)  
PACS 	Electronic Medical Record (EMR)	Security	Marketing 	Technical Support    	Foundation 
Budgets 	Staff Development 	Problem Solving 	Public Speaking 	HTML 	JSON 
Strategic Leadership 	Situational Leadership  	System Administration	Making Things Work  	Software Documentation 	Web Development  
Market Development 	Inpatient Care   	Networking	Social Networking  	Servers   	TDD   
HL 	ACO 	Databases 	Python	Microsoft Office  	JavaScript   
Operational Excellence 	Investment Banking	Virtualization  	C     C	SQL 	Leadership 
HIPAA 	SDLC 	Linux 	C++     C++	OS X  	Microsoft Office
Radiology 	Wealth Management	VMware ESX  	Embedded Systems  	Databases 	 Strategic Planning
Global Marketing 	Banking 	SAN    	Linux	Microsoft PowerPoint 	Public Speaking
DICOM	IT Strategy  	Infrastructure  	Software Development	Microsoft Excel	PowerPoint
Entrepreneurship 	Business Analysis  	Cloud Computing	Internet Protocol Suite (TCP/IP)	Software Installation	 Microsoft Excel
Healthcare	Vendor Management  	Qualitative Research 	Debugging	Mac OS X	 Entrepreneurship
Social Networking 	Financial Risk   	Data Analysis 	Management	Access	Management
Business Strategy 	Portfolio Management 	Program Evaluation 	Supervisory Skills  	Dreamweaver	 Research
Strategy 	Equities 	Market Intelligence	Customer Service   	Java	Sales
Nutrition 	Sybase 	Competitive Intelligence	Project Planning	Mac	Microsoft Word
Social Media 	Risk Management 	Market Research  	Networking 	Accounting  	Process Improvement
Public Speaking 	Enterprise Architecture  	Business Planning  	Troubleshooting   	Auditing 	Customer Service
Marketing 	Market Data 	Program Development 	Servers 	Internal Controls   	Team Leadership
Team Building	Trading Systems   	Financial Modeling	VPN 	Financial Reporting 	Time Management   
Training 	Wealth Management Services 	Business Intelligence	Windows Server  	Microsoft Office 	Teamwork     
Management Consulting 	Reference Data 	Financial Projection	Software Installation 	Risk Management 	Social Media  
Fitness 	Business Process Improvement  	Research     Research	Technical Support	Microsoft Excel 	
Inmation Technology 	Business Transmation  	Nonprofits     Nonprofits	VMware 	Accounts Receivable 	
Internal Audit 	Management Consulting  	Strategic Planning    	 Microsoft Exchange	Data Analysis 	
Risk Management 	Business Process 	Grant Writing  	SharePoint 	Research   	
Social Media Marketing 	Business Process Design 	Program Management  	Windows  	Analysis 	
Leadership Development 	Business Intelligence  	Public Health 	Hardware	COSO Framework 	
Wellness 	Integration 	 Spring	Consulting 	Operational Risk Management 	
Personal Training 	ERP 	JavaScript	Active Directory  	Mac OS X 	
Business Consulting 	Outsourcing  	Cloud Computing IaaS 	Disaster Recovery  	GRC  	
Weight Loss Coaching 	PMO 	PaaS	Help Desk Support 	Sarbanes-Oxley   	
Small Business 	SAP  	API management	Windows XP	Sarbanes-Oxley Act  	
Business Operations 	Organizational Design	Cloud Foundry	Inmation Technology  	Customer Service	
Enterprise Software 	SAP R/  	OpenStack	Virtual Private Network (VPN)	Public Speaking  	
Enterprise Software	Solution Architecture	VMware ESX	VMware ESX 	Financial Analysis 	
Software Development 	Business Process Re-engineering	Docker	Remote User Support  	Analytical Skills  	
SDLC 	Biotechnology   	BOSH	Windows Server  R  		
Software Project Management  	Genomics 	Chef	HP Procurve Networking   		
Databases   	Bioinmatics 	Maven	HP Blade  		
Cloud Computing   	Lifesciences	Gradle	DHCP   		
SOA 	Software Development 	Functional Programming	ESXi		
Web Applications   	Cross-functional Team Leadership 	Micro Services	VMware vSphere		
SaaS  	Life Sciences 	Heroku	VMware Infrastructure		
Microsoft SQL Server  	R&D 	Netflix OSS	Project Management		
Software Design 	Software Project Management  	DevOps	Budget Management		
XML   	Laboratory Automation  	Ruby	Inventory Management		
Architecture 	Pharmaceutical Industry 	"node,js"	Standard Operating Procedure (SOP)		
Enterprise Architecture   	Validation  	Redhat OpenShift	Remote Desktop Manager   		
SQL 	Offshore Software Development   	Go	Spring  		
Web Services  	Drug Discovery 	Java EE	C    		
Business Intelligence	Biochemistry 	JavaSE	C++ 		
C# 	Sequencing  	SQL	C#		
Scrum  	Molecular Biology  	Hibernate	WPF Development		
IT Strategy  	Product Development  	Eclipse SWT	CUDA		
Mobile Applications 	Testing  	"NoSQL(CouchDB, MongoDB, Memcached)"	MFC		
Require Analysis s	Strategy 	JSON	Git		
.NET  	Medical Devices  	"Application Servers (JBoss, WebSphere, WebLogic, Tomcat)"	Tortoise SVN		
HTML 	Research and Development (R&D)	Web servers (Apache)	Qt		
Technical Leadership  	Product Management 	"Proxy Servers (Squid, WebSphere)"	VTK		
Visual Basic   	Databases	Eclipse Memory Analyzer	Real-time Data Acquisition		
ASP.NET 	Cheminmatics  	GC analysis tools	Python 		
Software Engineering	Commercialization	Git	Image Processing  		
AJAX 	Genetics  	Ant	Embedded Systems  		
System Architecture	Chemistry  	Wicket	Linux  		
UML  	Process Improvement    	Ruby on Rails	Signal Processing   		
Programming 	Computational Biology  	Bash	Paraview		
Business Process Automation 	Software Engineering   	IntelliJ IDEA	VHDL 		
BPM  	Program/Project Management   	VMware vSphere	Verilog 		
Application Development  	Perl  	Amazon Web Services (AWS)	Electronics  		
Application Architecture  	Analysis  	GOLANG	Digital Signal Processors 		
Visual Studio  	FDA 	.NET	Qt Creator		
Business Management 	Quality Assurance 	Site Reliability	Github		
VB.NET     VB.NET	DNA  	Evangelism	Visual Studio 		
Agile   	DNA sequencing 	Sales	PLC Programming		
SQL Server  	Science 	Event Storming	Motion Control		
C++  	Offshore Management	Domain-Driven Design (DDD)	Matlab Compiler SDK		
EAI 	Team Leadership  	Agile Methodologies			
jQuery UI  	Pharmaceuticals  	Testing			
AngularJS  	 CFR Part 	Python			
Bootstrap 	Data Mining 	Permance Tuning			
Design Strategies 	Data Management	MongoDB			
Workflow 	LIMS  	Microsoft Office			
.Net Workflow  	Technology Transfer 	Management			
Financial Analysis  	Software 	PMP			
Financial Analysis	Cloud Computing 	.NET			
Analysis     Analysis	CRM 	C++			
Management     Management	Sales Operations 	Oracle			
Banking  	Pre-sales  	Software Design Patterns			
Finance 	Solution Architecture  	MVVM			
Strategy  	SaaS  	WPF			
ALM 	Go-to-market Strategy  	WCF			
Analytics 	Unified Communications  	LINQ			
Training   	Business Development 	Multithreading			
Risk Management 	Business Strategy  	MVC			
Financial Modeling   	Data Center 				
Financial Risk  	E-commerce 				
Leadership  	Business Alliances 				
Business Analysis 	Telepresence 				
Invest 	Sales Enablement  				
Business Process Improvement 	Sales Process 				
Microsoft Excel 	Strategic Partnerships 				
Financial Services 	Partner Management  				
Credit Risk 	Managed Services  				
Analytical Skills 	Agile Methodologies 				
Data Analysis	Start-ups  				
Business Strategy	Product Marketing  				
	Professional Services  				
	Selling 				
	Competitive Analysis				
	Solution Selling   				
	Telecommunications 				
	Mobile Devices 				
	Wireless  				
	Cisco Technologies   				
	Virtualization  				
	IT Infrastructure Management  				
	Process Improvement  				
	Software Development   				
	Channel  				
