Skill_ID,Skill,Type
137,Financial Services ,2
138,Credit Risk ,2
139,Analytical Skills ,2
140,Data Analysis,2
141,Business Strategy,2
142,Healthcare Management ,2
143,Managed Care   ,2
144,Nursing ,2
145,EMR,2
146,Clinical Research  ,2
147,Disease Management ,2
148,Leadership,1
149,Management  ,1
150,Healthcare Consulting,2
151,Physicians ,2
152,Healthcare Industry  ,2
153,Medicare   ,2
154,Medicine ,2
155,Medicaid  ,2
156,Project Management ,2
157,Utilization Management  ,2
158,Case Management ,2
159,Case Managment     ,2
160,Home Care   ,2
161,Physician Relations   ,2
162,Healthcare Inmation Technology (HIT)   ,2
163,JCAHO ,2
164,Microsoft Office,2
165,Inpatient,2
166,EHR  ,2
167,Inmatics  ,2
168,Working with Physicians,2
169,Operations Management   ,2
170,Public Speaking  ,1
171,Electronic Medical Record (EMR),2
172,Staff Development ,1
173,Situational Leadership  ,1
174,Inpatient Care   ,2
175,ACO ,2
176,Investment Banking,2
177,Wealth Management,2
178,Banking ,2
179,Business Analysis  ,2
180,Vendor Management  ,2
181,Financial Risk   ,2
182,Portfolio Management ,2
183,Equities ,2
184,Sybase ,2
185,Enterprise Architecture  ,2
186,Market Data ,2
187,Trading Systems   ,2
188,Wealth Management Services ,2
189,Reference Data ,2
190,Business Process Improvement  ,2
191,Business Transmation  ,2
192,Management Consulting  ,2
193,Business Process ,2
194,Business Process Design ,2
195,Business Intelligence  ,2
196,ERP ,2
197,Outsourcing  ,2
198,PMO ,2
199,SAP  ,2
200,Organizational Design,2
201,SAP R/  ,2
202,Solution Architecture,2
203,Business Process Re-engineering,2
204,Biotechnology   ,2
205,Genomics ,2
206,Bioinmatics ,2
207,Lifesciences,2
208,Cross-functional Team Leadership ,1
209,Life Sciences ,2
210,R&D ,2
211,Laboratory Automation  ,2
212,Pharmaceutical Industry ,2
213,Validation  ,2
214,Offshore Software Development   ,2
215,Drug Discovery ,2
216,Biochemistry ,2
217,Sequencing  ,2
218,Molecular Biology  ,2
219,Product Development  ,2
220,Testing  ,2
221,Medical Devices  ,2
222,Research and Development (R&D),2
223,Databases,2
224,Cheminmatics  ,2
225,Commercialization,2
226,Genetics  ,2
227,Chemistry  ,2
228,Process Improvement    ,2
229,Computational Biology  ,2
230,Software Engineering   ,2
231,Program/Project Management   ,2
232,Perl  ,2
233,Analysis  ,2
234,FDA ,2
235,Quality Assurance ,2
236,DNA  ,2
237,DNA sequencing ,2
238,Science ,2
239,Offshore Management,2
240,Team Leadership  ,2
241,Pharmaceuticals  ,2
242, CFR Part ,2
243,Data Mining ,2
244,Data Management,2
245,LIMS  ,2
246,Technology Transfer ,2
247,Software ,2
248,Cloud Computing ,2
249,CRM ,2
250,Sales Operations ,2
251,Pre-sales  ,2
252,Solution Architecture  ,2
253,Go-to-market Strategy  ,2
254,Unified Communications  ,2
255,Business Strategy  ,2
256,Data Center ,2
257,E-commerce ,2
258,Business Alliances ,2
259,Telepresence ,2
260,Sales Enablement  ,2
261,Sales Process ,2
262,Partner Management  ,1
263,Managed Services  ,2
264,Agile Methodologies ,2
265,Start-ups  ,1
266,Product Marketing  ,2
267,Professional Services  ,2
268,Selling ,1
269,Competitive Analysis,2
270,Solution Selling   ,2
271,Telecommunications ,2
272,Mobile Devices ,2
273,Wireless  ,2
274,Cisco Technologies   ,2
275,Virtualization  ,2
276,IT Infrastructure Management  ,2
277,Process Improvement  ,2
278,Software Development   ,2
279,Channel  ,2
280,SharePoint,2
281,Integration,2
282,Data Analysis  ,2
283,Validation ,2
284,Electronic Lab Notebooks ,2
285,Project Portfolio Management ,2
286,Data Management   ,2
287,Six Sigma,2
288,Require Analysis   ,2
289,Change Control,2
290,Scientific Data Management,2
291,Vaccines,2
292,Biologics,2
293,Agile Methodologies,2
294,Project Management   ,2
295,IT Management ,2
296,Certified Project Manager ,2
297,ITIL ,2
298,Technical Support   ,2
299,Vmware,2
300,Servers  ,2
301,JIRA ,2
302,SharePoint  ,2
303,Troubleshooting,2
304,Security,2
305,Problem Solving ,1
306,System Administration,2
307,Networking,2
308,Databases ,2
309,Linux ,2
310,VMware ESX  ,2
311,SAN    ,2
312,Infrastructure  ,2
313,Cloud Computing,2
314,Qualitative Research ,2
315,Data Analysis ,2
316,Program Evaluation ,2
317,Market Intelligence,2
318,Competitive Intelligence,2
319,Market Research  ,2
320,Business Planning  ,2
321,Program Development ,2
322,Financial Modeling,2
323,Financial Projection,2
324,Research     Research,2
325,Nonprofits     Nonprofits,2
326,Strategic Planning    ,2
327,Grant Writing  ,2
328,Program Management  ,2
329,Public Health ,2
330, Spring,2
331,JavaScript,2
332,Cloud Computing IaaS ,2
333,PaaS,2
334,API management,2
335,Cloud Foundry,2
336,OpenStack,2
337,VMware ESX,2
338,Docker,2
339,BOSH,2
340,Chef,2
341,Maven,2
342,Gradle,2
343,Functional Programming,2
344,Micro Services,2
345,Heroku,2
346,Netflix OSS,2
347,DevOps,2
348,Ruby,2
349,"node,js",2
350,Redhat OpenShift,2
351,Go,2
352,Java EE,2
353,JavaSE,2
354,SQL,2
355,Hibernate,2
356,Eclipse SWT,2
357,"NoSQL(CouchDB, MongoDB, Memcached)",2
358,JSON,2
359,"Application Servers (JBoss, WebSphere, WebLogic, Tomcat)",2
360,Web servers (Apache),2
361,"Proxy Servers (Squid, WebSphere)",2
362,Eclipse Memory Analyzer,2
363,GC analysis tools,2
364,Git,2
365,Ant,2
366,Wicket,2
367,Ruby on Rails,2
368,Bash,2
369,IntelliJ IDEA,2
370,VMware vSphere,2
371,Amazon Web Services (AWS),2
372,GOLANG,2
373,.NET,2
374,Site Reliability,2
375,Evangelism,2
376,Sales,2
377,Event Storming,2
378,Domain-Driven Design (DDD),2
379,Testing,2
380,Python,2
381,Permance Tuning,2
382,MongoDB,2
383,Management,2
384,PMP,2
385,C++,2
386,Oracle,2
387,Software Design Patterns,2
388,MVVM,2
389,WPF,2
390,WCF,2
391,LINQ,2
392,Multithreading,2
393,MVC,2
394,Software Architectural Design   ,2
395,Java    ,2
396,Python ,2
397,Ruby on Rails   ,2
398,Machine Learning  ,2
399,Computer Vision,2
400, JavaScript,2
401,Node.js  ,2
402,Big Data,2
403,Amazon Dynamodb  ,2
404,ElasticSearch ,2
405,Data Visualization  ,2
406,Swift  ,2
407,iOS Development   ,2
408,MongoDB  ,2
409,C  ,2
410,Django  ,2
411,Linux  ,2
412,SASS   ,2
413,NoSQL  ,2
414,MySQL  ,2
415,CSS  ,2
416,Computer Science ,2
417,Java  ,2
418,SQL   ,2
419,JavaScript  ,2
420,Teamwork  ,1
421,HTML  ,2
422,Making Things Work  ,1
423,Social Networking  ,1
424,C     ,2
425,C++     ,2
426,Embedded Systems  ,2
427,Linux,2
428,Software Development,2
429,Internet Protocol Suite (TCP/IP),2
430,Debugging,2
431,Supervisory Skills  ,1
432,Customer Service   ,1
433,Project Planning,1
434,Networking ,2
435,Troubleshooting   ,2
436,Servers ,2
437,VPN ,2
438,Windows Server  ,2
439,Software Installation ,2
440,Technical Support,2
441,VMware ,2
442, Microsoft Exchange,2
443,SharePoint ,2
444,Windows  ,2
445,Hardware,2
446,Consulting ,2
447,Active Directory  ,2
448,Disaster Recovery  ,2
449,Help Desk Support ,2
450,Windows XP,2
451,Inmation Technology  ,2
452,Virtual Private Network (VPN),2
453,VMware ESX ,2
454,Remote User Support  ,2
455,Windows Server  R  ,2
456,HP Procurve Networking   ,2
457,HP Blade  ,2
458,DHCP   ,2
459,ESXi,2
460,VMware Infrastructure,2
461,Project Management,2
462,Budget Management,2
463,Inventory Management,2
464,Standard Operating Procedure (SOP),2
465,Remote Desktop Manager   ,2
466,Spring  ,2
467,C    ,2
468,C++ ,2
469,C#,2
470,WPF Development,2
471,CUDA,2
472,MFC,2
473,Tortoise SVN,2
474,Qt,2
475,VTK,2
476,Real-time Data Acquisition,2
477,Image Processing  ,2
478,Signal Processing   ,2
479,Paraview,2
480,VHDL ,2
481,Verilog ,2
482,Electronics  ,2
483,Digital Signal Processors ,2
484,Qt Creator,2
485,Github,2
486,Visual Studio ,2
487,PLC Programming,2
488,Motion Control,2
489,Matlab Compiler SDK,2
490,Customer Service ,1
491,Microsoft Office  ,2
492,Management   ,1
493,Outlook     ,2
494,Windows      ,2
495,Windows XP     ,2
496,Windows ,2
497,Microsoft Word   ,2
498,Remote Desktop   ,2
499,Microsoft Outlook ,2
500,Biotechnology,2
501,Dameware,2
502,Computer Hardware,2
503,Avaya,2
504,Active Directory,2
505,VNC,2
506,Problem Solving,1
507,Polycom Video Conferencing,2
508,VPN,2
509,Systems Engineering   ,2
510,Earned Value Management  ,2
511,Require Management   ,2
512,Require Analysis  ,2
513,Space Systems ,2
514,DoDAF  ,2
515,Telelogic DOORS  ,2
516,Troubleshooting  ,1
517,Technical Support    ,2
518,Software Documentation ,2
519,Servers   ,2
520,OS X  ,2
521,Microsoft PowerPoint ,2
522,Microsoft Excel,2
523,Software Installation,2
524,Mac OS X,2
525,Access,2
526,Dreamweaver,2
527,Java,2
528,Mac,2
529,Accounting  ,2
530,Auditing ,2
531,Internal Controls   ,2
532,Financial Reporting ,2
533,Microsoft Office ,2
534,Accounts Receivable ,2
535,Research   ,2
536,Analysis ,1
537,COSO Framework ,2
538,Operational Risk Management ,2
539,Mac OS X ,2
540,GRC  ,2
541,Sarbanes-Oxley   ,2
542,Sarbanes-Oxley Act  ,2
543,Customer Service,1
544,Financial Analysis ,2
545,Analytical Skills  ,1
546,Statistics ,2
547,Programming  ,2
548,Research,2
549,Objective-C ,2
550,Event Planning ,1
551,Javascript ,2
552,Ruby    ,2
553,ReactJS  ,2
554,Rails  ,2
555,Git ,2
556,Github ,2
557,Sinatra  ,2
558,RSpec ,2
559,Jasmine  ,2
560,Enzyme ,2
561,Pair Programming ,2
562,Statistics   ,2
563,Visual Basic  Applications (VBA) ,2
564,Microsoft Excel  ,2
565,Mathematical Modeling ,2
566,Laboratory Inmation Management System (LIMS),2
567,Karma   ,2
568,Object-Oriented Programming (OOP)  ,2
569,Foundation ,2
570,JSON ,2
571,Web Development  ,2
572,TDD   ,2
573,JavaScript   ,2
574, Strategic Planning,1
575,Public Speaking,1
576,PowerPoint,2
577, Microsoft Excel,2
578, Entrepreneurship,1
579, Research,2
580,Microsoft Word,2
581,Process Improvement,1
582,Team Leadership,1
583,Time Management   ,1
584,Teamwork     ,1
585,Social Media  ,1
